[01-Sep-2017 12:54:35 Europe/Berlin] ::session.inc:439:[before upgrade] include_once(./tmp/faillog.php): failed to open stream: No such file or directory
[01-Sep-2017 12:54:35 Europe/Berlin] ::session.inc:439:[before upgrade] include_once(): Failed opening './tmp/faillog.php' for inclusion (include_path='.;E:\xampp\php\PEAR')
[01-Sep-2017 12:54:35 Europe/Berlin] ::current_user.inc:686:[before upgrade] Invalid argument supplied for foreach()
[01-Sep-2017 12:54:35 Europe/Berlin] ::current_user.inc:686:[before upgrade] Invalid argument supplied for foreach()
[01-Sep-2017 12:54:36 Europe/Berlin] 0::session.inc:489:[before upgrade] include(./company/0/installed_extensions.php): failed to open stream: No such file or directory
[01-Sep-2017 12:54:36 Europe/Berlin] 0::session.inc:489:[before upgrade] include(): Failed opening './company/0/installed_extensions.php' for inclusion (include_path='.;E:\xampp\php\PEAR')
[01-Sep-2017 12:54:36 Europe/Berlin] 0::hooks.inc:239:[before upgrade] Invalid argument supplied for foreach()
[01-Sep-2017 12:54:36 Europe/Berlin] 0::current_user.inc:730:[before upgrade] opendir(./company/0/js_cache/0,./company/0/js_cache/0): The system cannot find the file specified. (code: 2)
[01-Sep-2017 17:57:03 Europe/Berlin] 0:admin:connect_db_mysqli.inc:110: mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given
[03-Sep-2017 06:54:52 Europe/Berlin] 0:admin:connect_db_mysqli.inc:110: mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given
[03-Sep-2017 06:54:54 Europe/Berlin] 0:admin:connect_db_mysqli.inc:110: mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given
[03-Sep-2017 06:54:55 Europe/Berlin] 0:admin:connect_db_mysqli.inc:110: mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given
[03-Sep-2017 06:56:20 Europe/Berlin] 0:admin:connect_db_mysqli.inc:110: mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given
[03-Sep-2017 06:56:44 Europe/Berlin] 0:admin:connect_db_mysqli.inc:110: mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given
[03-Sep-2017 06:56:48 Europe/Berlin] 0:admin:connect_db_mysqli.inc:110: mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given
[03-Sep-2017 06:56:49 Europe/Berlin] 0:admin:connect_db_mysqli.inc:110: mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given
[03-Sep-2017 06:56:50 Europe/Berlin] 0:admin:connect_db_mysqli.inc:110: mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given
[03-Sep-2017 06:56:51 Europe/Berlin] 0:admin:connect_db_mysqli.inc:110: mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given
